,User,listed_count,followers_count,text,retweets,favorites
73,cajun032759,190,4825,"RT @LVNancy: Sarsour is planning event in April w Rasmea Odeh who was convicted of terrorist bombing #Israel https://t.co/VQizACaOg8
#Moral…",236,0
74,ElNacionalWeb,17746,4058521,Shakira criticó el veto migratorio de Donald Trump https://t.co/kE0mGtUtJC  https://t.co/J0BlBgw7OQ,0,0
75,chihointokyo,448,9146,"RT @sahouraxo: Also Assad: ""As for Trump's executive order barring refugees, every country has the right to put any regulations to enter th…",735,0
76,MyPlace4U,349,4994,RT @thehill: Trump adviser: CNN's Jake Tapper sexist in interviews with Conway https://t.co/6zJUE7MLKm https://t.co/ZccGADngkh,57,0
77,ushakoff78,1,23,"How Trump stacks up against other U.S. presidents, according to MAD magazine https://t.co/KMaegYn7V2 by #aleks_alex1 via @c0nvey",0,0
78,sewinginsecret,0,128,"RT @Amy_Siskind: Trump's approval is going down the tubes. Thank you decent Americans - a growing list!!!!
Disapprove 55%/Approve 40% https…",2,0
79,revnanrockwell,3,86,RT @SenSanders: I disagreed with President Bush all the time. I never called him a pathological liar. He was just conservative. But Trump l…,12781,0
80,WarBoy1991,15,171,Alex Jones if Trump's number one source for news,0,0
81,maggie4dogs1,29,571,"RT @surfermom77: Why WeThePpl❤️Trump❤️
The Democrats hate Trump
The Republicans despise Trump
The Media wants 2destroy Trump
#GoTrump https…",5608,0
82,Rodrigo_Cornejo,49,1654,"RT @Britovsky: Quien se atreva a decir que la manifestación fue ""contra Trump"" sin hablar del amplio repudio a @EPN miente, le mintieron o…",46,0
83,truth_trumpet,39,1146,"All Miller needs is a ""SS"" uniform and a tRump arm band. https://t.co/Y2mTOM5erx",0,0
84,onevoice2,274,6728,RT @DisavowTrump16: Stephen Miller makes false claims about voter fraud. RETWEET if u think this Trump advisor is a fraud himself #AMJoy #M…,236,0
85,LisaMHayes5,32,694,RT @MikePenceVP: Why are Democrats attacking Trump for doing the law of the country and deporting illegal immigrants? Are they against the…,525,0
86,MaryToGo,23,263,"RT @CNN: Sen. @alfranken: There needs to be an ""independent investigation” into Trump’s relationship with Russia https://t.co/rgEJimAjlT #C…",2737,0
87,losttwit,12,108,RT @SenSanders: I disagreed with President Bush all the time. I never called him a pathological liar. He was just conservative. But Trump l…,12781,0
88,rachelrockmanp,0,14,RT @BernieSanders: When Donald Trump attacks the  media as “fake news” what he is doing is trying to move our country in an authoritarian d…,9944,0
89,techphoginfe191,0,5,"RT @mamamorgan3: Breaking news: The 9th Circuit Court finds that Donald Trump is an idiot.
#MuslimBan #9thCircuit #POTUS",2,0
90,sailtheargo,17,103,RT @davidfrum: Ken Cuccinelli played a valiant anti-Trump role at Cleveland convention. https://t.co/QMyyfug7MS,43,0
91,oortmist,0,48,RT @BernieSanders: When Donald Trump attacks the  media as “fake news” what he is doing is trying to move our country in an authoritarian d…,9944,0
92,SheWho__,21,190,"RT @SarahMaslinNir: In the Trump store inside Trump Towers, sales woman told me ""It's all made in America."" Actually none is. https://t.co/…",1236,0
93,nire26,0,8,"RT @ChuckGrassley: Whoever monitors twitter at WH tell Pres Trump to ask Putin""What do u hv agst ElectionOpponents bc they are killed/impri…",753,0
94,SaNdLeRgYrL,3,136,RT @YoungDems4Trump: I will be posting the links for every state's March 4 Trump soon! Working with @ScottPresler to get them all out! SUPE…,389,0
95,ro_jo3,4,61,"RT @washingtonpost: Trump friend says chief of staff Reince Priebus is ""in way over his head"" https://t.co/Oap4PMB9lT",370,0
96,CarverBookCoach,3,4212,"RT @Mysstyblue: CBS News: Trump is 'divorced from reality,' saying things that are 'imaginary or fabricated' https://t.co/oK1qa6CRsP",145,0
97,agoldenbanks,11,131,Why wouldn't they do this? It's why Trump ran in the first place. https://t.co/buYjdITsF5,0,0
98,Skamama01,74,1365,RT @DisavowTrump16: Stephen Miller makes false claims about voter fraud. RETWEET if u think this Trump advisor is a fraud himself #AMJoy #M…,236,0
99,SirTomMoore,44,4070,"RT @BernieSanders: Trump is a total hypocrite. He campaigned saying I'm going to take on Wall Street, and then he hires the president of Go…",4894,0
100,RalfLittle,173,100304,RT @Breznican: BREAKING: Trump advisor Stephen Miller confirms it rubs the lotion on its skin or else it gets the hose again. https://t.co/…,1908,0
101,UCLAKINGSHALOS,2,47,"@UckfayRumptay RT @GeorgeTakei: Overheard this new title for Trump: SCROTUS. The ""So-Called Ruler of the United States.""",0,0
102,trueworldv1,0,7,RT @FoxNews: O'Reilly on '@WattersWorld': The Far Left 'Just Hates' @POTUS. @jessebwatters  https://t.co/s0ROxOerMB,41,0
103,DTedball,0,28,RT @CBCTheNational: Trump's reported reaction to SNL's parody of his press secretary draws attention to power of political comedy: https://…,35,0
104,olimega666,8,537,RT @lasillarota: '¿Protestar contra #Trump sin protestar contra este modelo económico empobrecedor?' #VibraMéxico https://t.co/Dsn5xhw5UU h…,2,0
105,ealight461,62,6182,RT @JasminMuj: Further proof that Trump will not moderate in power. Pushing out Priebus signals still harder right turn. https://t.co/hRu57…,80,0
106,Beardmylife,46,1242,RT @BernieSanders: When Donald Trump attacks the  media as “fake news” what he is doing is trying to move our country in an authoritarian d…,9945,0
107,NH92276,437,16902,"A United pilot ranted about Trump, Clinton and divorce. Her passengers fled. https://t.co/B7kosyLlZZ",0,0
108,vcegda9999,138,651,RT @Patrici15767099: Trump says undocumented migrant raids fulfill 'campaign promise' - Breitbart https://t.co/eoi1rAkzNN,4,0
109,labarber02,50,365,RT @DerekCressman: Nearly even odds https://t.co/Cu9q96aiwl,175,0
110,klaasvaak1533,26,1728,"RT @theGrio: Wow, the man who claimed his mom died due to Trump’s ban lied after all https://t.co/1ZKtNXiMH5 https://t.co/cfm4wYZXSM",10,0
